"module name","license","repository"
"@material/button@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/card@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/checkbox@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/chips@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/circular-progress@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/data-table@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/density@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/dialog@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/dom@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/drawer@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/elevation@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/fab@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/feature-targeting@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/floating-label@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/focus-ring@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/form-field@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/icon-button@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/image-list@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/layout-grid@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/line-ripple@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/linear-progress@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/list@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/menu-surface@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/menu@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/notched-outline@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/progress-indicator@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/radio@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/ripple@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/rtl@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/segmented-button@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/select@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/shape@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/slider@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/snackbar@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/switch@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/tab-bar@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/tab-indicator@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/tab-scroller@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/tab@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/textfield@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/theme@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/tokens@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/tooltip@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/top-app-bar@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/touch-target@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@material/typography@15.0.0-canary.7f224ddd4.0","MIT","https://github.com/material-components/material-components-web"
"@microsoft/tsdoc@0.15.0","MIT","https://github.com/microsoft/tsdoc"
"@module-federation/bridge-react-webpack-plugin@0.2.8","UNKNOWN",""
"@module-federation/dts-plugin@0.2.8","MIT",""
"@module-federation/enhanced@0.2.8","MIT","https://github.com/module-federation/core/tree/main/packages/enhanced"
"@module-federation/managers@0.2.8","MIT",""
"@module-federation/manifest@0.2.8","MIT",""
"@module-federation/rspack@0.2.8","MIT",""
"@module-federation/runtime-tools@0.2.8","MIT",""
"@module-federation/runtime@0.2.8","MIT",""
"@module-federation/sdk@0.2.8","MIT",""
"@module-federation/third-party-dts-extractor@0.2.8","MIT",""
"@module-federation/webpack-bundler-runtime@0.2.8","MIT",""
"@msgpackr-extract/msgpackr-extract-linux-x64@3.0.3","MIT","https://github.com/kriszyp/msgpackr-extract"
"@napi-rs/wasm-runtime@0.2.4","MIT","https://github.com/napi-rs/napi-rs"
"@nestjs/common@10.3.10","MIT","https://github.com/nestjs/nest"
"@nestjs/config@3.2.3","MIT","https://github.com/nestjs/config"
"@nestjs/core@10.3.10","MIT","https://github.com/nestjs/nest"
"@nestjs/mapped-types@2.0.5","MIT","https://github.com/nestjs/mapped-types"
"@nestjs/microservices@10.3.10","MIT","https://github.com/nestjs/nest"
"@nestjs/platform-express@10.3.10","MIT","https://github.com/nestjs/nest"
